,sentence,label
1,"The to the 21st Century new that 's going a splash even greater , or Segal",0.69444
2,"The Rock is destined to be `` 21st Century 's new the Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Segal . Steven",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,"The destined to 21st Century '' and going a splash even greater Schwarzenegger , or Segal .",0.69444
2,"The 's is to to be the 21st Century 's he `` Segal '' and that or Rock going destined make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme new Steven Conan .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,"The Rock is destined to 21st Century 's Conan 's going make a than , Jean-Claud Van or Steven",0.69444
2,"Arnold Rock is destined to be the 21st splash 's new `` Conan '' and that he 's even to make a The going than greater Century Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,"The Rock is to be the 21st new `` Conan going to make splash even , Jean-Claud Steven .",0.69444
2,"The Rock is destined to be the 21st 's even new `` Conan '' and that he 's going to make Damme splash Arnold greater than Century Schwarzenegger , Segal Van a or Steven Jean-Claud .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,"to Century `` Conan '' 's going to splash even greater , Jean-Claud Damme or Steven Segal .",0.69444
2,"The Rock is destined to be the 21st Century 's Damme `` Conan '' and that he 's going . Jean-Claud a to even splash than Arnold Schwarzenegger , make Van new or Steven Segal greater",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,Rock destined be the 21st 's Conan and that he going to make a greater Arnold Van or Segal,0.69444
2,"The Rock is destined to be greater 21st Century to new . Conan '' and that he 's going 's make a splash even the Van Arnold `` , Jean-Claud than Damme or Steven Segal Schwarzenegger",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,Rock be the `` '' he a even greater Arnold Schwarzenegger Jean-Claud Damme .,0.69444
2,"The Rock is . to be the 21st Century Damme or `` Conan 's and that he 's new to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van '' going Steven Segal destined",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,"is to be the 21st Century 's Conan and he going make a Arnold Schwarzenegger , Jean-Claud Damme or Steven",0.69444
2,"The 's is destined to be the 21st Century 's new `` Conan '' and that Van Rock going . make a splash , greater than even Schwarzenegger Arnold Jean-Claud he Damme or Steven Segal to",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,Rock is be the Century 's new `` Conan '' and 's going to a splash greater than Steven,0.69444
2,"Rock Conan is destined to be the 21st Century 's new a The '' and that he 's going to make `` splash even . than Arnold Schwarzenegger , Jean-Claud Van Damme Segal Steven or greater",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,The is to be the 21st Century 's `` Conan that he 's Arnold Schwarzenegger Damme or Segal,0.69444
2,"The splash is destined to be the going Schwarzenegger 's Arnold 's Conan '' and that he `` 21st to make a Rock even greater than new Century , Jean-Claud Van Damme or Steven Segal .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,The Rock is destined to the 21st new and he to splash even than Schwarzenegger Van Damme or Segal,0.69444
2,"The Rock is destined to be the 21st even than 's `` Conan '' and new he 's going to make a splash Century greater that Steven Schwarzenegger , Jean-Claud Van Damme or Arnold Segal .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,"destined be Century new that he going to a splash even greater , Van Damme",0.69444
2,"The Rock Steven destined to be the 21st Century 's new `` Conan '' and a he 's going Jean-Claud make that splash even greater Van Arnold Schwarzenegger than to , Damme or is Segal .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,"Rock destined be the 's `` Conan and that going make a even greater than Arnold Schwarzenegger , or",0.69444
2,"'s Rock is destined to be the 21st Century The new going Conan Damme and that he 's make to `` a Jean-Claud even greater than Arnold Schwarzenegger , splash Van '' or Steven Segal .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,The Rock is to the 's `` going a splash greater Arnold Van Damme or .,0.69444
2,"The Rock is destined to be the 21st Century 's make `` Conan '' and that he 's Segal to Arnold Steven splash even greater a new Schwarzenegger , Jean-Claud Van Damme or than going .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,destined to 21st 's Conan that 's going to make even greater than Arnold Jean-Claud Damme or Steven Segal .,0.69444
2,"The Rock is destined to be the a Century . new `` Conan '' that 21st he 's going to make splash and even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal 's",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,is destined the Century 's that he to splash greater Steven Segal .,0.69444
2,"The Rock '' destined to be the 21st Century 's new `` than is and that he 's a to make going splash Arnold greater Jean-Claud even Schwarzenegger , Conan Van Damme or Steven Segal .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,The Rock be the `` Conan '' he make a splash even than Arnold Schwarzenegger Jean-Claud or,0.69444
2,"The new is destined to be the Schwarzenegger , greater Rock `` Conan to and that he 's going '' make a splash even 's than Arnold 21st Century Jean-Claud Van Damme or Steven Segal .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,"The Rock is to 21st 's `` Conan he going to even than , Jean-Claud Van .",0.69444
2,"The Rock is destined to be make 21st Century greater new `` that '' and Conan he 's going to the Schwarzenegger splash even 's than Segal a , Jean-Claud Van Damme or Steven Arnold .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,The is destined be 's new he 's going to make a splash even greater Schwarzenegger or Segal .,0.69444
2,"'' Rock is destined to be the 's Century 's Conan `` new The and that he 21st going to make a splash Arnold greater than Steven Schwarzenegger , Jean-Claud Van Damme or even Segal .",0.69444
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444
1,is destined to be Century and that going splash than Schwarzenegger Jean-Claud Van Damme Steven,0.69444
2,"Segal Rock is destined be to to 21st Century 's new `` Conan '' and that he 's going the make a splash even greater , Arnold Schwarzenegger than Jean-Claud Van Damme or The Steven .",0.69444
