,sentence,target
192,A movie that reminds us of just how exciting and satisfying the fantasy cinema can be when it 's approached with imagination and flair .,3
193,More whiny downer than corruscating commentary .,1
194,Femme Fatale offers nothing more than a bait-and-switch that is beyond playing fair with the audience .,1
195,"The hook is the drama within the drama , as an unsolved murder and an unresolved moral conflict jockey for the spotlight .",3
196,But even with the two-wrongs-make-a-right chemistry between Jolie and Burns ... this otherwise appealing picture loses its soul to Screenwriting For Dummies conformity .,2
197,Just how extreme are these ops ?,2
198,"As comedic spotlights go , Notorious C.H.O. hits all the verbal marks it should .",3
199,Much of the cast is stiff or just plain bad .,1
200,The film is a verbal duel between two gifted performers .,4
201,"... a ho-hum affair , always watchable yet hardly memorable .",2
202,Throwing it all away for the fleeting joys of love 's brief moment .,2
203,"The result is somewhat satisfying -- it still comes from Spielberg , who has never made anything that was n't at least watchable .",3
204,"A stylish but steady , and ultimately very satisfying , piece of character-driven storytelling .",4
205,"In the end , though , it is only mildly amusing when it could have been so much more .",2
206,The actresses find their own rhythm and protect each other from the script 's bad ideas and awkwardness .,3
207,... a hollow joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it .,1
208,A historical epic with the courage of its convictions about both scope and detail .,4
209,"Though it 's not very well shot or composed or edited , the score is too insistent and the dialogue is frequently overwrought and crudely literal , the film shatters you in waves .",1
210,Thoroughly enjoyable .,3
211,"Led by Griffin 's smartly nuanced performance and enthusiasm , the cast has a lot of fun with the material .",3
212,But it was n't .,1
213,I also believe that Resident Evil is not it .,1
214,It 's deep-sixed by a compulsion to catalog every bodily fluids gag in There 's Something About Mary and devise a parallel clone-gag .,2
215,"The 3-D vistas from orbit , with the space station suspended like a huge set of wind chimes over the great blue globe , are stanzas of breathtaking , awe-inspiring visual poetry .",4
216,"It 's an example of sophisticated , challenging filmmaking that stands , despite its noticeable lack of emotional heft , in welcome contrast to the indulgent dead-end experimentation of the director 's previous Full Frontal .",3
217,Apparently kissing leads to suicide attempts and tragic deaths .,1
218,"... pitiful , slapdash disaster .",0
219,"Comes across as a relic from a bygone era , and its convolutions ... feel silly rather than plausible .",0
220,Hmmm ... might I suggest that the wayward wooden one end it all by stuffing himself into an electric pencil sharpener ?,1
221,Breen 's script is sketchy with actorish notations on the margin of acting .,1
222,"Samira Makhmalbaf 's new film Blackboards is much like the ethos of a stream of consciousness , although , it 's unfortunate for the viewer that the thoughts and reflections coming through are torpid and banal",0
223,"Marisa Tomei is good , but Just A Kiss is just a mess .",0
224,"When one hears Harry Shearer is going to make his debut as a film director , one would hope for the best",3
225,"Pumpkin means to be an outrageous dark satire on fraternity life , but its ambitions far exceed the abilities of writer Adam Larson Broder and his co-director , Tony R. Abrams , in their feature debut .",1
226,"Bright seems alternately amused and disgusted with this material , and he ca n't help throwing in a few of his own touches .",2
227,"Despite an overwrought ending , the film works as well as it does because of the performances .",3
228,"As the latest bid in the TV-to-movie franchise game , I Spy makes its big-screen entry with little of the nervy originality of its groundbreaking small-screen progenitor .",1
229,The satire is just too easy to be genuinely satisfying .,1
230,"With a romantic comedy plotline straight from the ages , this Cinderella story does n't have a single surprise up its sleeve .",1
231,Has a customarily jovial air but a deficit of flim-flam inventiveness .,1
232,"We never truly come to care about the main characters and whether or not they 'll wind up together , and Michele 's spiritual quest is neither amusing nor dramatic enough to sustain interest .",0
233,"Oops , she 's really done it this time .",2
234,"Light the candles , bring out the cake and do n't fret about the calories because there 's precious little substance in Birthday Girl -- it 's simply , and surprisingly , a nice , light treat .",4
235,"Though the plot is predictable , the movie never feels formulaic , because the attention is on the nuances of the emotional development of the delicate characters .",2
236,... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... The film 's ending has a `` What was it all for ? '',0
237,"The story , once it gets rolling , is nothing short of a great one .",4
238,"But on the whole , you 're gonna like this movie .",3
239,Propelled not by characters but by caricatures .,1
240,As original and insightful as last week 's episode of Behind the Music .,1
241,"The screenplay by James Eric , James Horton and director Peter O'Fallon ... is so pat it makes your teeth hurt .",1
242,It 's a glorious groove that leaves you wanting more .,4
243,Rock 's stand-up magic wanes .,1
244,Steers has an unexpectedly adamant streak of warm-blooded empathy for all his disparate Manhattan denizens -- especially the a \*\* holes .,2
245,"As quiet , patient and tenacious as Mr. Lopez himself , who approaches his difficult , endless work with remarkable serenity and discipline .",4
246,It 's both a necessary political work and a fascinating documentary ...,3
247,Mindless and boring martial arts and gunplay with too little excitement and zero compelling storyline .,1
248,Brosnan is more feral in this film than I 've seen him before and Halle Berry does her best to keep up with him .,3
249,Diane Lane 's sophisticated performance ca n't rescue Adrian Lyne 's Unfaithful from its sleazy moralizing .,1
250,So verbally flatfooted and so emotionally predictable or bland that it plays like the standard made-for-TV movie .,2
251,The reason this picture works better than its predecessors is that Myers is no longer simply spoofing the mini-mod-madness of '60s spy movies .,3
252,Horns and Halos benefits from serendipity but also reminds us of our own responsibility to question what is told as the truth .,3
253,The picture emerges as a surprisingly anemic disappointment .,0
254,"Extremely well acted by the four primary actors , this is a seriously intended movie that is not easily forgotten .",4
255,"The sight of the spaceship on the launching pad is duly impressive in IMAX dimensions , as are shots of the astronauts floating in their cabins .",3
256,Both a successful adaptation and an enjoyable film in its own right .,4
257,If your taste runs to ` difficult ' films you absolutely ca n't miss it .,3
258,One regards Reign of Fire with awe .,4
259,"A movie you observe , rather than one you enter into .",1
260,OK arthouse .,2
261,"Thanks to Ice Cube , Benjamins feels an awful lot like Friday in Miami .",2
262,Wilco is a phenomenal band with such an engrossing story that will capture the minds and hearts of many .,4
263,"If there 's a heaven for bad movies , Deuces Wild is on its way .",0
264,The latest Adam Sandler assault and possibly the worst film of the year .,0
265,Troll the cult section of your local video store for the real deal .,2
266,The observations of this social\/economic\/urban environment are canny and spiced with irony .,3
267,In terms of execution this movie is careless and unfocused .,0
268,"As I settled into my World War II memories , I found myself strangely moved by even the corniest and most hackneyed contrivances .",3
269,Spielberg 's realization of a near-future America is masterful .,4
270,"It 's the element of condescension , as the filmmakers look down on their working-class subjects from their lofty perch , that finally makes Sex With Strangers , which opens today in the New York metropolitan area , so distasteful .",0
271,"The Lion King was a roaring success when it was released eight years ago , but on Imax it seems better , not just bigger .",3
272,"This cheery , down-to-earth film is warm with the cozy feeling of relaxing around old friends .",4
273,"Lan Yu is a genuine love story , full of traditional layers of awakening and ripening and separation and recovery .",4
274,"It 's not helpful to listen to extremist name-calling , regardless of whether you think Kissinger was a calculating fiend or just a slippery self-promoter .",1
275,Is it a total success ?,2
276,Eh .,2
277,"A smart , arch and rather cold-blooded comedy .",3
278,This insufferable movie is meant to make you think about existential suffering .,1
279,He allows his cast members to make creative contributions to the story and dialogue .,3
280,"Standing in the Shadows of Motown is the best kind of documentary , one that makes a depleted yesterday feel very much like a brand-new tomorrow .",4
281,The film has a terrific look and Salma Hayek has a feel for the character at all stages of her life .,4
282,"From spiritual rebirth to bruising defeat , Vincent 's odyssey resonates in a profound way , comparable to the classic films of Jean Renoir .",3
283,To say this was done better in Wilder 's Some Like It Hot is like saying the sun rises in the east .,1
284,Munch 's screenplay is tenderly observant of his characters .,3
285,A sustained fest of self-congratulation between actor and director that leaves scant place for the viewer .,1
286,"A bold and subversive film that cuts across the grain of what is popular and powerful in this high-tech age , speaking its truths with spellbinding imagery and the entrancing music of Philip Glass .",4
287,Writer \/ director M. Night Shyamalan 's ability to pull together easily accessible stories that resonate with profundity is undeniable .,3
288,"The messages of compassion and mercy are clearly , squarely and specifically expounded via computer animated Old Testament tale of Jonah and the Whale .",2
289,"Disney 's live-action division has a history of releasing cinematic flotsam , but this is one occasion when they have unearthed a rare gem .",4
290,Viewers of `` The Ring '' are more likely to remember the haunting images than the plot holes .,2
291,"Makes the same mistake as the music industry it criticizes , becoming so slick and watered-down it almost loses what made you love it in the first place .",1
292,The Irwins ' scenes are fascinating ; the movie as a whole is cheap junk and an insult to their death-defying efforts .,0
293,"... plenty of warmth to go around , with music and laughter and the love of family .",4
294,"The result is a powerful , naturally dramatic piece of low-budget filmmaking .",4
295,Chelsea Walls is a case of too many chefs fussing over too weak a recipe .,1
296,There 's something fishy about a seasonal holiday kids ' movie ... that derives its moment of most convincing emotional gravity from a scene where Santa gives gifts to grownups .,1
297,And it 's not that funny -- which is just generally insulting .,0
298,"A fresh-faced , big-hearted and frequently funny thrill ride for the kiddies , with enough eye candy and cheeky wit to keep parents away from the concession stand . '",4
299,Another rent installment for the Ian Fleming estate .,1
300,I hated every minute of it .,0
301,"Though it flirts with bathos and pathos and the further Oprahfication of the world as we know it , it still cuts all the way down to broken bone .",2
302,The difference between Cho and most comics is that her confidence in her material is merited .,3
303,"If your senses have n't been dulled by slasher films and gorefests , if you 're a connoisseur of psychological horror , this is your ticket .",3
304,"Anemic , pretentious .",1
305,"Though filmed partly in Canada , Paid in Full has clever ways of capturing inner-city life during the Reagan years .",3
306,"The best you can say about it is it 's so uninspired , it barely gives one pause when considering some of the other dreck out there right now .",1
307,The story really has no place to go since Simone is not real -- she ca n't provide any conflict .,1
308,When the heroes were actually under 40 ?,2
309,This time Kaufman 's imagination has failed him .,0
310,What a great way to spend 4 units of your day .,3
311,Where Bowling for Columbine is at its most valuable is in its examination of America 's culture of fear as a root cause of gun violence .,2
312,"Director-chef Gabriele Muccino keeps it fast -- zippy , comin ' at ya -- as if fearing that his film is molto superficiale .",2
313,A rehash of every gangster movie from the past decade .,1
314,"As a belated nod to some neglected all-stars , Standing in the Shadows of Motown is cultural history of the best kind : informative , revealing and richly entertaining .",4
315,I hate this movie,1
316,The story is smart and entirely charming in intent and execution .,3
317,Both the crime story and the love story are unusual .,2
318,It 's hard to pity the ` plain ' girl who becomes a ravishing waif after applying a smear of lip-gloss .,1
319,Well-meant but unoriginal .,1
320,A crass and insulting homage to great films like Some Like It Hot and the John Wayne classics .,0
321,"For a story set at sea , Ghost Ship is pretty landbound , with its leaden acting , dull exposition and telegraphed ` surprises . '",0
322,"The script is smart , not cloying .",3
323,"despite the long running time , the pace never feels slack -- there 's no scene that screams `` bathroom break ! ''",3
324,A sentimental mess that never rings true .,0
325,"Expect the same-old , lame-old slasher nonsense , just with different scenery .",0
326,"This is n't a retooled genre piece , the tale of a guy and his gun , but an amiably idiosyncratic work .",2
327,Sex With Strangers will shock many with its unblinking frankness .,2
328,"As violent , profane and exploitative as the most offensive action flick you 've ever seen .",1
329,Aggravating and tedious .,0
330,"In its own floundering way , it gets to you .",3
331,The performances are remarkable .,4
332,Shrewd but pointless .,1
333,"As warm as it is wise , deftly setting off uproarious humor with an underlying seriousness that sneaks up on the viewer , providing an experience that is richer than anticipated .",4
334,I ca n't remember the last time I saw worse stunt editing or cheaper action movie production values than in Extreme Ops .,1
335,"If the material is slight and admittedly manipulative , Jacquot preserves Tosca 's intoxicating ardor through his use of the camera .",3
336,"It 's a brilliant , honest performance by Nicholson , but the film is an agonizing bore except when the fantastic Kathy Bates turns up .",2
337,"A strong script , powerful direction and splendid production design allows us to be transported into the life of Wladyslaw Szpilman , who is not only a pianist , but a good human being .",4
338,If this story must be told and retold -- and indeed it must -- then The Grey Zone is to be lauded for finding a new and ingenious angle .,2
339,A chilling movie without oppressive gore .,3
340,Shot like a postcard and overacted with all the boozy self-indulgence that brings out the worst in otherwise talented actors ...,0
341,"If you ever wondered what it would be like to be smack in the middle of a war zone armed with nothing but a camera , this Oscar-nominated documentary takes you there .",4
342,"We admire this film for its harsh objectivity and refusal to seek our tears , our sympathies .",4
343,It is up to you to decide if you need to see it .,2
344,"Not only does Spider-Man deliver , but I suspect it might deliver again and again .",4
345,"Vaguely interesting , but it 's just too too much .",1
346,Feral and uncomfortable .,1
347,"While it is welcome to see a Chinese film depict a homosexual relationship in a mature and frank fashion , Lan Yu never catches dramatic fire .",1
348,The picture does n't know it 's a comedy .,2
349,"Stripped almost entirely of such tools as nudity , profanity and violence , LaBute does manage to make a few points about modern man and his problematic quest for human connection .",1
350,"The film is hard to dismiss -- moody , thoughtful , and lit by flashes of mordant humor .",3
351,The disarming cornball atmosphere has a way of infecting the entire crowd as the film rolls on .,2
352,I 'm afraid you wo n't get through this frankly fantastical by-the-numbers B-flick with just a suspension of disbelief .,2
353,"An unholy mess , driven by the pathetic idea that if you shoot something on crummy-looking videotape , it must be labelled ` hip ' , ` innovative ' and ` realistic ' .",0
354,"I had more fun with Ben Stiller 's Zoolander , which I thought was rather clever .",2
355,"Definitely funny stuff , but it 's more of the ` laughing at ' variety than the ` laughing with . '",3
356,"If it 's not entirely memorable , the movie is certainly easy to watch .",3
357,Paul Bettany is cool .,3
358,Far away .,2
359,"There 's no denying the elaborateness of the artist 's conceptions , nor his ability to depict them with outrageous elan , but really the whole series is so much pretentious nonsense , lavishly praised by those who equate obscurity with profundity .",1
